zone,timestamp,gesture_pred,ground_truth,case_id,pos_x,pos_y
5,1764351795.2471104,FIST,FIST,3,1485,439
5,1764351795.7588017,FIST,FIST,3,1512,412
5,1764351796.2713304,FIST,FIST,3,1479,411
5,1764351796.7901318,FIST,FIST,3,1411,379
5,1764351797.2943106,FIST,FIST,3,1373,385
5,1764351797.798314,FIST,FIST,3,1329,406
5,1764351798.3015697,FIST,FIST,3,1255,405
5,1764351798.8113735,FIST,FIST,3,1151,393
5,1764351799.314304,,FIST,6,,
5,1764351799.8179324,,FIST,6,,
5,1764351800.327905,FIST,FIST,3,1040,509
5,1764351800.8368313,FIST,FIST,3,1040,542
5,1764351801.341001,FIST,FIST,3,1035,562
5,1764351801.8500874,FIST,FIST,3,1032,575
5,1764351802.3528562,FIST,FIST,3,1060,610
5,1764351802.8655353,FIST,FIST,3,1165,628
5,1764351803.3666058,FIST,FIST,3,1271,629
5,1764351803.8881397,,FIST,6,,
5,1764351804.3951209,,FIST,6,,
5,1764351804.8992894,,FIST,6,,
5,1764351805.4088125,PALM,FIST,4,1589,523
5,1764351805.9342132,FIST,FIST,3,1604,491
5,1764351806.435112,FIST,FIST,3,1617,485
5,1764351806.9497015,FIST,FIST,3,1628,474
5,1764351807.4601188,FIST,FIST,3,1682,409
5,1764351807.9646885,FIST,FIST,3,1690,347
5,1764351808.4647248,FIST,FIST,3,1548,404
5,1764351808.9748995,FIST,FIST,3,1462,434
5,1764351809.4780958,FIST,FIST,3,1350,418
5,1764351809.9920666,FIST,FIST,3,1216,375
5,1764351810.4975445,FIST,FIST,3,1183,388
5,1764351813.4506493,,PALM,5,,
5,1764351813.9518526,,PALM,5,,
5,1764351814.468396,,PALM,5,,
5,1764351814.9741998,,PALM,5,,
5,1764351815.481541,,PALM,5,,
5,1764351815.9847388,,PALM,5,,
5,1764351816.4875972,,PALM,5,,
5,1764351816.9975078,,PALM,5,,
5,1764351817.4993145,,PALM,5,,
5,1764351818.0103343,,PALM,5,,
5,1764351818.5160048,,PALM,5,,
5,1764351819.0285847,,PALM,5,,
5,1764351819.5420291,,PALM,5,,
5,1764351820.0466352,,PALM,5,,
5,1764351820.5478134,,PALM,5,,
5,1764351821.0525715,,PALM,5,,
5,1764351847.9964402,,PALM,5,,
5,1764351848.5302026,,PALM,5,,
5,1764351849.0350957,,PALM,5,,
5,1764351849.5546002,PALM,PALM,2,1358,677
5,1764351850.0731173,PALM,PALM,2,1352,670
5,1764351850.5898485,PALM,PALM,2,1365,667
5,1764351851.9646451,PALM,PALM,2,1356,676
5,1764351852.477908,PALM,PALM,2,1364,670
5,1764351853.0016887,PALM,PALM,2,1362,662
5,1764351853.5157044,PALM,PALM,2,1355,647
5,1764351854.0295823,PALM,PALM,2,1358,651
5,1764351854.5393655,PALM,PALM,2,1351,653
5,1764351855.058183,PALM,PALM,2,1356,660
5,1764351855.562717,PALM,PALM,2,1349,660
5,1764351856.0762446,PALM,PALM,2,1326,650
5,1764351856.5777984,PALM,PALM,2,1372,662
5,1764351857.1002338,PALM,PALM,2,1403,656
5,1764351857.6025321,FIST,FIST,3,1410,644
5,1764351858.104213,FIST,FIST,3,1414,643
5,1764351858.6165068,FIST,FIST,3,1421,644
5,1764351859.1412258,FIST,FIST,3,1429,648
5,1764351859.6521587,FIST,FIST,3,1389,646
6,1764351873.2523632,PALM,PALM,2,1932,576
6,1764351873.757049,PALM,PALM,2,1880,568
6,1764351874.2616751,PALM,PALM,2,1892,589
6,1764351874.7734811,PALM,PALM,2,1910,593
6,1764351875.2847345,PALM,PALM,2,1948,616
6,1764351875.7922416,PALM,PALM,2,2048,650
6,1764351876.2967896,PALM,PALM,2,2117,652
6,1764351876.8140104,PALM,PALM,2,2125,661
6,1764351877.3212106,PALM,PALM,2,2028,634
6,1764351877.8425345,PALM,PALM,2,1912,593
6,1764351878.350181,PALM,PALM,2,1825,555
6,1764351895.49604,FIST,FIST,3,1844,520
6,1764351896.0083368,FIST,FIST,3,1848,516
6,1764351896.5236704,FIST,FIST,3,1869,495
6,1764351897.043192,FIST,FIST,3,1863,464
6,1764351897.549035,FIST,FIST,3,1869,434
6,1764351898.0584161,FIST,FIST,3,1905,415
6,1764351898.5681405,FIST,FIST,3,1877,470
6,1764351899.0717747,FIST,FIST,3,1878,506
6,1764351899.586332,FIST,FIST,3,1924,516
6,1764351900.0933075,FIST,FIST,3,1932,505
6,1764351900.6032538,FIST,FIST,3,1860,498
6,1764351901.1200156,FIST,FIST,3,1782,476
6,1764351901.6385796,,FIST,6,,
6,1764351902.1412325,,FIST,6,,
6,1764351902.6434844,,FIST,6,,
6,1764351903.1571233,,FIST,6,,
